Country,Clicks,Impressions,CTR,Position
United Kingdom,1,196,0.51%,61.38
Algeria,1,26,3.85%,67.46
Saudi Arabia,1,18,5.56%,68.44
Poland,1,17,5.88%,59.88
United Arab Emirates,1,16,6.25%,53.06
Romania,1,4,25%,62.75
United States,0,2154,0%,52.07
India,0,242,0%,63.78
Philippines,0,199,0%,69.55
Turkey,0,168,0%,66.63
Vietnam,0,108,0%,70.48
Indonesia,0,107,0%,69.98
Malaysia,0,103,0%,68.71
Russia,0,88,0%,62.57
Thailand,0,68,0%,67.69
Germany,0,67,0%,51.72
Mexico,0,67,0%,67.54
Australia,0,48,0%,62.33
Canada,0,47,0%,55.32
Brazil,0,46,0%,51.11
Morocco,0,41,0%,66.54
France,0,39,0%,52.28
Bangladesh,0,36,0%,64.06
Jordan,0,35,0%,69.49
Netherlands,0,34,0%,48.97
Spain,0,33,0%,61.06
Ukraine,0,26,0%,53.69
Sweden,0,21,0%,37.19
Pakistan,0,16,0%,53.38
Israel,0,14,0%,48.64
Denmark,0,13,0%,39
New Zealand,0,12,0%,61.17
Belgium,0,11,0%,51.64
Italy,0,11,0%,66.27
Czechia,0,10,0%,34.9
Peru,0,10,0%,39.3
Switzerland,0,10,0%,51.9
Portugal,0,8,0%,20
Norway,0,7,0%,31.86
Ireland,0,7,0%,37.86
Singapore,0,7,0%,61.43
Estonia,0,6,0%,13.17
Finland,0,6,0%,40
South Africa,0,6,0%,46.83
Hungary,0,5,0%,29.8
Austria,0,5,0%,36.6
Japan,0,5,0%,37.6
Hong Kong,0,4,0%,39.5
Belarus,0,4,0%,61.5
Nigeria,0,4,0%,65.25
Lithuania,0,3,0%,6
Bulgaria,0,3,0%,17
Taiwan,0,3,0%,19.67
Argentina,0,3,0%,56.33
Kenya,0,3,0%,57.33
Luxembourg,0,3,0%,60.33
Qatar,0,3,0%,85.67
Bolivia,0,2,0%,5.5
Nepal,0,2,0%,6.5
Slovakia,0,2,0%,7
China,0,2,0%,7.5
Egypt,0,2,0%,15
Uzbekistan,0,2,0%,16
Croatia,0,2,0%,18
Latvia,0,2,0%,25
Iraq,0,2,0%,31
Oman,0,2,0%,35
Unknown Region,0,2,0%,35
Zimbabwe,0,2,0%,40
Serbia,0,2,0%,44.5
South Korea,0,2,0%,55
Dominican Republic,0,2,0%,58
Guyana,0,2,0%,77
Syria,0,1,0%,4
Albania,0,1,0%,5
Azerbaijan,0,1,0%,6
Uganda,0,1,0%,6
Colombia,0,1,0%,7
Ethiopia,0,1,0%,7
Puerto Rico,0,1,0%,9
Cyprus,0,1,0%,10
Malawi,0,1,0%,10
Liberia,0,1,0%,11
Armenia,0,1,0%,28
Cambodia,0,1,0%,35
Moldova,0,1,0%,37
Monaco,0,1,0%,41
Cape Verde,0,1,0%,53
Greece,0,1,0%,57
Gabon,0,1,0%,63
Côte d’Ivoire,0,1,0%,64
Guatemala,0,1,0%,68
Uruguay,0,1,0%,76
Chile,0,1,0%,243
